地名,センター,燃やすごみ,プラ（容器・包装プラスチック類）,カン,ビン,ペットボトル,その他不燃物,スプレー缶類・ガスライター,有害ごみ（乾電池・蛍光灯）,【参考】古紙等集団回収,粗大ごみ（事前申込制有料）,処理困難物,家電リサイクル品目,町で収集しないもの
字大山崎小字白味才（43早稲田公園前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字白味才（75イタリアン「Arata」横）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,土4 *3,月 木 *4,*5,*6,*5
字大山崎小字鉄東※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字大山崎小字早稲田（43早稲田公園前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,日3 *3,月 木 *4,*5,*6,*5
字大山崎小字堀尻（81大山崎町保育所前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,土4 *3,月 木 *4,*5,*6,*5
字大山崎小字広敷（34東和苑公園前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,火1 *3,月 木 *4,*5,*6,*5
字大山崎小字広敷（35東和苑橋上）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,火1 *3,月 木 *4,*5,*6,*5
字大山崎小字広敷（37鏡田橋上）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字広敷（81大山崎町保育所前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字斗加坪（34東和苑公園前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字斗加坪（35東和苑橋上）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,火1 *3,月 木 *4,*5,*6,*5
字大山崎小字斗加坪（37鏡田橋上）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字斗加坪（９西高田今井住宅竹藪前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 *3,月 木 *4,*5,*6,*5
字大山崎小字斗加坪（80西高田公園前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,日4 *3,月 木 *4,*5,*6,*5
字大山崎小字傍示木（34東和苑公園前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,日3 *3,月 木 *4,*5,*6,*5
字大山崎小字傍示木（76澤田氏宅前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,日3 *3,月 木 *4,*5,*6,*5
字大山崎小字傍示木（77中央公民館南端）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,日3 *3,月 木 *4,*5,*6,*5
字大山崎小字松原（76澤田氏宅前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,日3 *3,月 木 *4,*5,*6,*5
字大山崎小字岩崎（40元岩崎公園前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,日3 *3,月 木 *4,*5,*6,*5
字大山崎小字西山田（40元岩崎公園前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,日3 *3,月 木 *4,*5,*6,*5
字大山崎小字西高田（80西高田公園前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,日4 *3,月 木 *4,*5,*6,*5
字大山崎小字東高田※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字大山崎小字小泉※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字大山崎小字坂巻※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字大山崎小字立嶋※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字大山崎小字柳島※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字円明寺小字夏目（９西高田今井住宅竹藪前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字夏目（32夏目公園前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字夏目（48のばと公園前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字夏目（77中央公民館南端）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字百々※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字円明寺小字宝本（９西高田今井住宅竹藪前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,日4 *3,月 木 *4,*5,*6,*5
字円明寺小字算用田（９西高田今井住宅竹藪前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字算用田（32夏目公園前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,金1 金3 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字井尻（48のばと公園前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字東ノ口（44円明寺バス停前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字東ノ口（46松田橋西詰）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字東ノ口（48のばと公園前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字茶屋前（44円明寺バス停前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字茶屋前（48のばと公園前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字下金蔵（44円明寺バス停前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字下金蔵（44円明寺バス停前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字金蔵（44円明寺バス停前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字長慶（53小泉橋横）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
